year,prtp,scc
2058,0.005,202.91466224413847
2059,0.005,204.0505640419114
2060,0.005,205.1870562556785
2023,0.01,64.95458501402659
2024,0.01,65.35834489784514
2025,0.01,65.763169204785
2026,0.01,66.16895206692425
2027,0.01,66.57558859368912
2028,0.01,66.98297816424645
2029,0.01,67.3910249863153
2030,0.01,67.79963827915557
2031,0.01,68.20873403492726
2032,0.01,68.61823065231559
2033,0.01,69.02803701935383
2034,0.01,69.43805780087753
2035,0.01,69.84819671153704
2036,0.01,70.25835762789653
2037,0.01,70.66844287920257
2038,0.01,71.07835304576528
2039,0.01,71.4879851022567
2040,0.01,71.89723230770477
2041,0.01,72.30598427618605
2042,0.01,72.7141237132767
2043,0.01,73.12153722649747
2044,0.01,73.52811420703497
2045,0.01,73.93374793411786
2046,0.01,74.3383357960902
2047,0.01,74.74178065132116
2048,0.01,75.14399157680411
2049,0.01,75.54488420753563
2050,0.01,75.94438235438041
2051,0.01,76.34241943889661
2052,0.01,76.73894047598095
2053,0.01,77.13389702155182
2054,0.01,77.52724779292767
2055,0.01,77.91895820151049
2056,0.01,78.3090005024986
2057,0.01,78.69735381383721
2058,0.01,79.08400652529858
2059,0.01,79.46895470293559
2060,0.01,79.85220511444655
2023,0.015,33.52590695899002
2024,0.015,33.819600296405284
2025,0.015,34.11321883880423
2026,0.015,34.40668626244599
2027,0.015,34.69992788662076
2028,0.015,34.99287298715586
2029,0.015,35.28545560580767
2030,0.015,35.577615147332786
2031,0.015,35.86929743301077
2032,0.015,36.16045034314427
2033,0.015,36.45101033869597
2034,0.015,36.740908496591814
2035,0.015,37.03007495209332
2036,0.015,37.3184394500973
2037,0.015,37.605930163618034
2038,0.015,37.892472867047196
2039,0.015,38.17798940442799
2040,0.015,38.46239751012555
2041,0.015,38.74561028867072
2042,0.015,39.027533645785866
2043,0.015,39.3080755855243
2044,0.015,39.58714544183326
2045,0.015,39.864655110521
2046,0.015,40.140519370426375
2047,0.015,40.41465692406653
2048,0.015,40.686990724280044
2049,0.015,40.95744885409827
2050,0.015,41.22596552994203
2051,0.015,41.49248240161339
2052,0.015,41.756951483976216
2053,0.015,42.01933020821353
2054,0.015,42.27958162085267
2055,0.015,42.53767342773812
2056,0.015,42.79357807506241
2057,0.015,43.04727317176464
2058,0.015,43.29874298396089
2059,0.015,43.54797844034977
2060,0.015,43.79497858837743
2023,0.02,18.99948954028575
2024,0.02,19.22863611054067
2025,0.02,19.457869063187125
2026,0.02,19.687121081343154
2027,0.02,19.91632649145761
2028,0.02,20.145423286571226
2029,0.02,20.374354005471645
2030,0.02,20.603066426818984
2031,0.02,20.831514553373186
2032,0.02,21.059654176613634
2033,0.02,21.287429070561107
2034,0.02,21.5147771639254
2035,0.02,21.741635275479798
2036,0.02,21.967939512835486
2037,0.02,22.193624337143632
2038,0.02,22.41862144984767
2039,0.02,22.64285844292426
2040,0.02,22.86625857391253
2041,0.02,23.08874004600503
2042,0.02,23.310213753734796
2043,0.02,23.530591972902435
2044,0.02,23.749787658303575
2045,0.02,23.967715582080167
2046,0.02,24.18429267829127
2047,0.02,24.399438894644817
2048,0.02,24.613077393930112
2049,0.02,24.8251355630411
2050,0.02,25.03554577573572
2051,0.02,25.244246617035948
2052,0.02,25.451186119791267
2053,0.02,25.656316762145387
2054,0.02,25.8595955453384
2055,0.02,26.060982802156573
2056,0.02,26.260442350619364
2057,0.02,26.45794186968031
2058,0.02,26.653454210624012
2059,0.02,26.84695781775718
2060,0.02,27.03843771489327
2023,0.025,11.321087908910222
2024,0.025,11.500912145657146
2025,0.025,11.681126552384708
2026,0.025,11.8616724511771
2027,0.025,12.042492660727817
2028,0.025,12.223533398146564
2029,0.025,12.404745197853073
2030,0.025,12.586083657646522
2031,0.025,12.767510452291642
2032,0.025,12.948988818200199
2033,0.025,13.130469612431675
2034,0.025,13.311897524022955
2035,0.025,13.493215954238549
2036,0.025,13.674367367467976
2037,0.025,13.855292478028725
2038,0.025,14.035928990403582
