year,prtp,scc
2046,0.0175,183.21783
2047,0.0175,184.97406
2048,0.0175,186.70563
2049,0.0175,188.42937
2050,0.0175,190.16507
2023,0.02,106.282646
2024,0.02,108.13567
2025,0.02,110.01479
2026,0.02,111.92398
2027,0.02,113.86454
2028,0.02,115.83461
2029,0.02,117.82995
2030,0.02,119.882225
2031,0.02,121.91653
2032,0.02,123.975464
2033,0.02,126.055504
2034,0.02,128.15117
2035,0.02,130.2581
2036,0.02,132.37311
2037,0.02,134.48787
2038,0.02,136.58693
2039,0.02,138.64796
2040,0.02,140.63936
2041,0.02,142.51384
2042,0.02,144.27315
2043,0.02,145.9826
2044,0.02,147.67255
2045,0.02,149.32675
2046,0.02,150.94409
2047,0.02,152.5305
2048,0.02,154.09415
2049,0.02,155.65166
2050,0.02,157.22264
2023,0.0225,86.12657
2024,0.0225,87.793144
2025,0.0225,89.48664
2026,0.0225,91.21099
2027,0.0225,92.9675
2028,0.0225,94.75434
2029,0.0225,96.56733
2030,0.0225,98.41842
2031,0.0225,100.27198
2032,0.0225,102.15134
2033,0.0225,104.053185
2034,0.0225,105.972336
2035,0.0225,107.90471
2036,0.0225,109.8473
2037,0.0225,111.791985
2038,0.0225,113.72346
2039,0.0225,115.61949
2040,0.0225,117.44863
2041,0.0225,119.162994
2042,0.0225,120.763985
2043,0.0225,122.31643
2044,0.0225,123.85067
2045,0.0225,125.35058
2046,0.0225,126.815025
2047,0.0225,128.24992
2048,0.0225,129.66338
2049,0.0225,131.07182
2050,0.0225,132.49472
2023,0.025,71.10864
2024,0.025,72.61528
2025,0.025,74.1493
2026,0.025,75.71464
2027,0.025,77.31261
2028,0.025,78.94142
2029,0.025,80.596985
2030,0.025,82.27987
2031,0.025,83.97714
2032,0.025,85.70106
2033,0.025,87.44853
2034,0.025,89.214645
2035,0.025,90.99553
2036,0.025,92.7884
2037,0.025,94.58532
2038,0.025,96.371124
2039,0.025,98.12371
2040,0.025,99.811745
